"_id","player_id","first_name","last_name","birth_date","turned_pro","weight","height","flag_code","birth_city","birth_country","residence_city","residence_country","handedness","back_hand","flashscore_id","flashscore_url"
"5f753ab43c2a5545dffa6bf6","l249","Sule","Ladipo","1974-04-09","1993.0","165.0","180.0","NGR","Enugu","Nigeria","","","","","ladipo-sulieman","SxTJzo7G"
"5f753ab43c2a5545dffa6c2b","l950","Alexandar","Lazov","1990-07-09","","152.0","183.0","BUL","Sofia","Bulgaria","","","Left-Handed","Two-Handed Backhand","lazov-alexander","698p3BXG"
"5f753ab43c2a5545dffa6c40","m035","Luiz","Mattar","1963-08-18","1985.0","167.0","183.0","BRA","Sao Paulo","Brazil","Sao Paulo","Brazil","","","mattar-luis","ddE6oE6N"
"5f753ab43c2a5545dffa6c60","m440","Andrei","Merinov","1971-06-23","","155.0","183.0","RUS","Moscow","Russia","","","","","merinov-andrey","I9En8Ipi"
"5f753ab43c2a5545dffa6cfb","n201","Clement","N'Goran","1969-08-07","","195.0","178.0","CIV","","","","","","","n-goran-clement","UXhvHVuj"
"5f753ab43c2a5545dffa6d00","n228","Claude","N'Goran","1975-03-18","1994.0","182.0","191.0","CIV","Adzope","Ivory Coast","","","","","n-goran-claude","8ECCURYB"
"5f753ab43c2a5545dffa6d11","n314","Radoslaw","Nijaki","1982-01-25","","","","POL","","","","","","","nijaki-radoslav","jeOQ0CDQ"
"5f753ab43c2a5545dffa6d1d","n587","Mahmoud-Nader","Al Baloushi","1980-06-30","0.0","0.0","0.0","UAE","","","","","","","al-baloushi-mohmoud-nader","G2ez5Ucd"
"5f753ab43c2a5545dffa6d2b","o099","Alex","O'Brien","1970-03-07","1992.0","195.0","185.0","USA","Amarillo","USA","Amarillo","USA","","","o-brien-alex","YTEknQX1"
"5f753ab43c2a5545dffa6d34","o174","Justin","O'Neal","1977-10-24","1999.0","","","USA","Lima","U.S.A.","Philadelphia","U.S.A.","","","o-neal-justin","z7lqKzA2"
"5f753ab43c2a5545dffa6d7d","p500","Sergei","Petrouchevsky","1980-03-23","","","","RUS","","","","","","","petrouchevsky-sergey","UFC1I8W5"
"5f753ab43c2a5545dffa6d86","p616","Dennis","Peschek","1984-01-06","","","","GER","","","","","","","peschek-denis","WvTXnzv8"
"5f753ab43c2a5545dffa6dd6","r367","Rodolfo","Rake","1979-07-13","","","","PER","","","","","","","rake-rodolpho","bJrI9Gv9"
"5f753ab43c2a5545dffa6e59","s636","Rainer","Schuettler","1976-04-25","1995.0","165.0","180.0","GER","Korbach","Germany","Altstaetten","Switzerland","Right-Handed","Two-Handed Backhand","schuttler-rainer","8xC5exwt"
"5f753ab43c2a5545dffa6e99","sf76","Franko","Skugor","1987-09-20","","212.0","198.0","CRO","Sibenik","Croatia","Zagreb","Croatia","Right-Handed","Two-Handed Backhand","skugor-franco","p4i31Iao"
"5f753ab43c2a5545dffa6e9e","sg66","Peerakiat","Siriluethaiwattana","1989-08-16","","","","THA","","","","","","","siriluethaiwattana-peraklat","QXGmTXbl"
"5f753ab43c2a5545dffa6f39","v296","Dmitry","Vlasov","1982-07-11","","170.0","188.0","RUS","Tula","Russia","Moscow","Russia","","","vlasov-dmitri","nBBbOur9"
"5f753ab43c2a5545dffa6f52","w001","Lars-Anders","Wahlgren","1966-08-24","1985.0","185.0","193.0","SWE","Lund","Sweden","Angelholm","Sweden","","","wahlgren-lars","h0ttDpa3"
"5f753ab43c2a5545dffa6f63","w144","Jens","Woehrmann","1967-09-08","","162.0","180.0","GER","Siegen","Germany","","","","","wohrmann-jens","v5lgJX1e"
"5f753ab43c2a5545dffa6fa8","z045","Markus","Zoecke","1968-05-10","1989.0","190.0","196.0","GER","Berlin","Germany","Berlin","Germany","","","zoecke-marcus","n1dl55WN"
"5f753ab43c2a5545dffa6fa9","z059","Andy","Zingman","1974-06-16","1993.0","167.0","183.0","ARG","Buenos Aires","Argentina","Buenos Aires","Argentina","","","zingman-andres","fw3bJzl5"
